group,type_label,cu_purchase_dt,total
customer,Dissatisfied,2021-03-29,8
customer,Dissatisfied,2021-03-22,6
customer,Potential_Loyalist,2021-03-02,6
customer,Potential_Loyalist,2021-02-26,6
customer,Potential_Loyalist,2021-02-25,6
customer,Loyalist,2021-01-27,4
customer,High_Maintenance,2021-05-28,4
customer,High_Maintenance,2021-06-03,4
customer,High_Maintenance,2021-06-07,4
customer,High_Maintenance,2021-06-09,4
customer,High_Maintenance,2021-07-12,4
customer,High_Maintenance,2021-07-28,4
customer,High_Maintenance,2022-06-23,4
customer,Loyalist,2021-02-04,4
customer,Loyalist,2021-01-30,4
customer,Loyalist,2021-02-01,4
customer,High_Maintenance,2021-05-17,4
customer,Potential_Loyalist,2021-02-11,4
customer,Potential_Loyalist,2021-02-12,4
customer,Potential_Loyalist,2021-02-24,4
customer,Potential_Loyalist,2021-03-04,4
customer,Potential_Loyalist,2021-03-08,4
customer,High_Maintenance,2021-05-24,4
customer,Loyalist,2020-11-29,4
customer,Dissatisfied,2021-04-07,4
customer,Dissatisfied,2021-04-22,4
customer,Dissatisfied,2021-04-02,4
customer,Dissatisfied,2021-05-06,4
customer,Dissatisfied,2021-04-09,4
customer,High_Maintenance,2021-05-12,4
customer,Loyalist,2021-02-03,2
customer,Dissatisfied,2021-04-21,2
customer,Loyalist,2021-02-05,2
customer,Dissatisfied,2021-04-26,2
customer,Loyalist,2021-06-03,2
customer,Potential_Loyalist,2021-02-20,2
customer,Loyalist,2021-08-05,2
customer,Loyalist,2022-03-25,2
customer,Potential_Loyalist,2021-02-08,2
customer,Potential_Loyalist,2021-02-10,2
customer,Dissatisfied,2021-04-19,2
customer,Dissatisfied,2021-04-17,2
customer,Potential_Loyalist,2021-02-17,2
customer,Loyalist,2021-07-20,2
customer,High_Maintenance,2021-05-18,2
customer,Potential_Loyalist,2021-02-22,2
customer,Loyalist,2021-01-28,2
customer,Dissatisfied,2021-04-06,2
customer,Potential_Loyalist,2021-02-27,2
customer,Potential_Loyalist,2021-03-01,2
customer,Dissatisfied,2021-03-30,2
customer,Potential_Loyalist,2021-03-05,2
customer,Dissatisfied,2021-03-27,2
customer,Potential_Loyalist,2021-03-09,2
customer,Potential_Loyalist,2021-03-10,2
customer,Potential_Loyalist,2021-03-16,2
customer,Potential_Loyalist,2021-03-19,2
customer,Potential_Loyalist,2021-03-22,2
customer,Potential_Loyalist,2021-10-26,2
customer,Potential_Loyalist,2022-01-26,2
customer,Loyalist,2021-01-29,2
customer,Loyalist,2021-01-26,2
customer,Dissatisfied,2021-04-27,2
customer,High_Maintenance,2021-06-30,2
customer,High_Maintenance,2021-08-13,2
customer,High_Maintenance,2021-08-09,2
customer,High_Maintenance,2021-08-03,2
customer,Dissatisfied,2021-04-29,2
customer,High_Maintenance,2021-07-22,2
customer,Dissatisfied,2021-05-03,2
customer,High_Maintenance,2021-06-14,2
customer,High_Maintenance,2022-02-02,2
customer,Dissatisfied,2021-05-04,2
customer,Dissatisfied,2022-04-06,2
customer,High_Maintenance,2021-06-01,2
customer,High_Maintenance,2021-05-08,2
customer,High_Maintenance,2021-05-27,2
customer,High_Maintenance,2021-05-25,2
customer,High_Maintenance,2021-08-19,2
customer,Dissatisfied,2021-04-28,2
customer,High_Maintenance,2021-05-21,2
customer,Loyalist,2020-12-21,2
customer,Loyalist,2021-01-14,2
customer,Loyalist,2021-01-13,2
customer,Loyalist,2021-01-06,2
customer,Loyalist,2020-12-31,2
customer,Loyalist,2020-12-26,2
customer,Loyalist,2020-12-22,2
customer,Loyalist,2020-12-17,2
customer,Loyalist,2020-11-10,2
customer,Loyalist,2020-12-16,2
customer,Loyalist,2020-12-10,2
customer,Loyalist,2020-12-01,2
customer,Dissatisfied,2021-03-26,2
customer,Loyalist,2020-11-28,2
customer,Loyalist,2020-11-20,2
customer,Satisfied,2021-06-21,2
